"GEOID","HighSewer","MedSewer","LowSewer"
"'010730001004","YES","YES","YES"
"'010550006003","YES","YES","YES"
"'010550112001","YES","YES","YES"
"'011010054073","YES","YES","YES"
"'011010007001","YES","YES","YES"
"'011239621002","NO","NO","NO"
"'011270211004","NO","NO","NO"
"'010970069022","YES","YES","YES"
"'010970075002","YES","YES","YES"
"'010150004001","YES","NO","NO"
"'010150007002","YES","YES","YES"
"'011170302122","YES","YES","YES"
"'011170303402","YES","YES","YES"
"'011150401041","YES","YES","YES"
"'010830202023","NO","NO","NO"
"'010030109043","NO","NO","NO"
"'010872320002","YES","NO","NO"
"'011250119013","YES","YES","YES"
"'011250114013","YES","YES","YES"
"'011030051082","YES","YES","YES"
"'011030051092","YES","YES","YES"
"'011030051063","YES","YES","YES"
"'011170303192","YES","YES","YES"
"'010979900000","NO","NO","NO"
"'010939646002","NO","NO","NO"
"'010890006022","YES","YES","YES"
"'010890009022","YES","YES","YES"
"'010890012002","YES","YES","YES"
"'010890015001","YES","YES","YES"
"'010890024002","YES","YES","YES"
"'010890023002","YES","YES","YES"
"'010890026001","YES","YES","YES"
"'010890029112","YES","YES","YES"
"'010890029221","YES","YES","YES"
"'010690421004","NO","NO","NO"
"'010690415002","NO","NO","NO"
"'010690409002","YES","YES","YES"
"'010690414002","YES","YES","NO"
"'010690404001","YES","YES","YES"
"'010690405003","YES","YES","YES"
"'010690410002","YES","YES","YES"
"'010719507002","NO","NO","NO"
"'010719508003","YES","YES","YES"
"'010890009011","YES","YES","YES"
"'010890021001","YES","YES","YES"
"'010890021003","YES","YES","YES"
"'010010203001","YES","YES","YES"
"'010010204003","YES","YES","YES"
"'010059509003","YES","YES","YES"
"'010970073002","NO","NO","NO"
"'010970036081","YES","YES","YES"
"'010970052001","YES","YES","YES"
"'010970004012","YES","YES","YES"
"'010970007012","YES","YES","YES"
"'010970009022","YES","YES","YES"
"'010970009031","YES","YES","YES"
"'010970013021","YES","YES","YES"
"'010970015012","YES","YES","YES"
"'010970020001","YES","YES","YES"
"'010970023022","YES","YES","YES"
"'010970026001","YES","YES","YES"
"'010970028002","YES","YES","YES"
"'010970031001","YES","YES","YES"
"'010970034081","YES","YES","YES"
"'010970049004","YES","YES","YES"
"'010970040001","YES","YES","YES"
"'010970064031","YES","YES","YES"
"'010970032051","YES","YES","YES"
"'010730121042","YES","YES","YES"
