"GEOID","HS_SepCnt","HS_SepDn","MS_SepCnt","MS_SepDn","LS_SepCnt","LS_SepDn","AREA_SQKM"
"'010730106042",0,0,0,0,0,0,1.926
"'010730111085",0,0,0,0,0,0,1.551
"'010730143042",0,0,0,0,0,0,2.274
"'010730111173",0,0,392,121.674,392,121.674,3.222
"'010730106045",0,0,0,0,0,0,0.521
"'010890110242",0,0,0,0,0,0,2.537
"'010890107062",0,0,649,104.694,649,104.694,6.199
"'010890105031",0,0,0,0,807,182.732,4.416
"'010890028041",0,0,0,0,0,0,0.716
"'010890104052",877,24.679,877,24.679,877,24.679,35.536
"'010890112031",490,21.444,490,21.444,490,21.444,22.85
"'010890110283",0,0,0,0,0,0,3.404
"'010890107031",523,32.23,523,32.23,523,32.23,16.227
"'010890104031",532,43.874,532,43.874,532,43.874,12.126
"'010890110254",0,0,0,0,0,0,2.191
"'010890110241",0,0,0,0,0,0,2.541
"'010890102003",553,31.584,553,31.584,553,31.584,17.509
"'010890014041",0,0,0,0,0,0,0.505
"'010890009014",0,0,0,0,564,110.915,5.085
"'010890103031",0,0,0,0,0,0,3.844
"'010090507014",231,12.316,231,12.316,231,12.316,18.756
"'010090506043",383,22.455,383,22.455,383,22.455,17.057
"'011170306133",0,0,0,0,0,0,1.663
"'011170305032",0,0,0,0,0,0,3.911
"'011170302123",0,0,0,0,0,0,0.876
"'011170303501",0,0,0,0,0,0,2.886
"'011170303524",0,0,0,0,0,0,1.172
"'011170303522",0,0,0,0,0,0,3.121
"'011170303471",0,0,0,0,0,0,1.64
"'010570203005",333,18.456,333,18.456,333,18.456,18.042
"'011210117003",0,0,0,0,662,103.713,6.383
"'011210118001",0,0,0,0,0,0,1.798
"'011210109002",0,0,0,0,0,0,2.24
"'011091889002",0,0,0,0,0,0,5.283
"'011110005002",546,18.519,546,18.519,546,18.519,29.484
"'011130302003",0,0,0,0,0,0,0.493
"'010890004031",0,0,0,0,0,0,3.301
"'010890013012",0,0,0,0,0,0,1.346
"'010890110211",0,0,0,0,295,54.77,5.386
"'010890026003",0,0,0,0,0,0,1.818
"'010179546003",0,0,0,0,0,0,3.588
"'010179547003",446,93.282,446,93.282,446,93.282,4.781
"'010872320001",463,108.655,463,108.655,463,108.655,4.261
"'010810413002",0,0,0,0,0,0,1.352
"'010810406022",0,0,0,0,0,0,0.964
"'011130305001",0,0,0,0,0,0,4.695
"'010810409011",0,0,0,0,324,56.169,5.768
"'010810406021",0,0,0,0,0,0,0.897
"'010670304002",316,8.325,316,8.325,316,8.325,37.958
"'010990757002",417,1.32,417,1.32,417,1.32,315.84
"'010950309022",0,0,844,57.811,844,57.811,14.599
"'010950312001",0,0,0,0,0,0,3.263
"'010450211024",596,53.021,596,53.021,596,53.021,11.241
"'010610503004",0,0,0,0,0,0,1.281
"'010610503006",0,0,0,0,0,0,0.846
"'010450214004",521,36.765,521,36.765,521,36.765,14.171
"'010450205003",0,0,0,0,0,0,1.039
"'010450207002",0,0,0,0,0,0,1.479
"'011010032001",0,0,0,0,0,0,2.24
"'011010011002",0,0,0,0,0,0,0.498
"'011010012003",0,0,0,0,0,0,0.367
"'011010059023",0,0,0,0,0,0,2.766
"'011010054024",0,0,0,0,0,0,0.507
"'011010054091",0,0,0,0,0,0,1.21
"'011010030003",0,0,0,0,0,0,2.396
"'011010023003",0,0,0,0,0,0,0.333
"'011010031003",0,0,0,0,0,0,1.004
"'011010032005",0,0,0,0,0,0,0.602
"'011010004001",0,0,0,0,0,0,0.439
"'011010026002",0,0,0,0,0,0,1.155
"'011010016003",0,0,0,0,0,0,0.661
"'011010033012",0,0,0,0,0,0,1.063
"'011010017003",0,0,0,0,0,0,1.089
"'011010021003",0,0,0,0,0,0,1.062
"'011010053011",0,0,0,0,0,0,1.529
"'010210601011",0,0,0,0,0,0,1.391
"'010210605003",609,2.76,609,2.76,609,2.76,220.637
"'011210120001",0,0,0,0,0,0,0.957
"'011210106001",0,0,0,0,0,0,3.028
"'010359606002",1159,2.257,1159,2.257,1159,2.257,513.624
"'010690403012",0,0,0,0,0,0,2.695
"'010010201001",251,58.109,251,58.109,251,58.109,4.319
"'010510311003",0,0,0,0,390,124.743,3.126
"'010330207031",0,0,0,0,0,0,2.59
"'010330206002",0,0,0,0,0,0,2.91
"'010330207044",0,0,0,0,0,0,1.631
"'010970076002",0,0,0,0,0,0,1.816
"'010970026003",0,0,0,0,0,0,2.493
"'010970012002",0,0,0,0,0,0,0.517
"'010970032052",0,0,0,0,0,0,0.33
"'010970037072",0,0,0,0,0,0,0.596
"'011170306071",0,0,0,0,0,0,3.894
"'011170303173",0,0,0,0,0,0,0.835
"'011170303062",0,0,0,0,0,0,1.649
"'010719508001",0,0,0,0,0,0,1.718
"'010730059101",0,0,0,0,0,0,1.741
"'010730029003",0,0,0,0,0,0,1.025
"'010730022002",0,0,0,0,0,0,0.717
"'010730057021",0,0,0,0,0,0,0.82
"'010730051011",0,0,0,0,0,0,0.354
"'010730108013",0,0,0,0,0,0,0.412
"'010730107012",0,0,0,0,0,0,0.478
"'010730141042",405,31.419,405,31.419,405,31.419,12.89
"'010730103013",0,0,0,0,0,0,0.387
"'010730141053",0,0,0,0,147,85.149,1.726
"'010730144063",0,0,0,0,0,0,1.53
"'010730129082",0,0,0,0,0,0,0.49
"'010730144091",0,0,0,0,0,0,2.725
"'010730129131",0,0,0,0,0,0,0.948
"'010730107011",0,0,0,0,0,0,0.476
"'010730144102",0,0,0,0,0,0,3.919
"'010730001004",0,0,0,0,0,0,1.055
"'010550006003",0,0,0,0,0,0,0.407
"'010550112001",0,0,0,0,0,0,1.363
"'011010054073",0,0,0,0,0,0,1.724
"'011010007001",0,0,0,0,0,0,0.643
"'011239621002",515,43.995,515,43.995,515,43.995,11.706
"'011270211004",477,70.258,477,70.258,477,70.258,6.789
"'010970069022",0,0,0,0,0,0,1.483
"'010970075002",0,0,0,0,0,0,0.675
"'010150004001",0,0,475,92.469,475,92.469,5.137
"'010150007002",0,0,0,0,0,0,2.329
